event_type,signal_time,split,year,band,normalized_up_move,entry,resistance,time_to_fail_min,fraction_below_60,max_extension_60_pts,horizon_min,long_return_pts,mfe_pts,mae_pts,positive_return,close_above_level
control,2010-06-07 01:14:00-04:00,IS,2010,<0.5,0.1923076923076923,1823.5,1831.0,1.0,1.0,-5.0,1,-1.0,0.25,-1.25,0,0
control,2010-06-07 01:14:00-04:00,IS,2010,<0.5,0.1923076923076923,1823.5,1831.0,1.0,1.0,-5.0,5,-0.5,1.5,-1.25,0,0
control,2010-06-07 01:14:00-04:00,IS,2010,<0.5,0.1923076923076923,1823.5,1831.0,1.0,1.0,-5.0,15,-3.25,1.5,-4.0,0,0
control,2010-06-07 01:14:00-04:00,IS,2010,<0.5,0.1923076923076923,1823.5,1831.0,1.0,1.0,-5.0,30,-0.25,1.5,-4.0,0,0
control,2010-06-07 01:14:00-04:00,IS,2010,<0.5,0.1923076923076923,1823.5,1831.0,1.0,1.0,-5.0,60,-5.25,2.5,-5.5,0,0
control,2010-06-07 01:44:00-04:00,IS,2010,0.5-1.0,0.6043956043956045,1822.75,1831.0,1.0,1.0,-5.0,1,0.5,0.5,0.0,1,0
control,2010-06-07 01:44:00-04:00,IS,2010,0.5-1.0,0.6043956043956045,1822.75,1831.0,1.0,1.0,-5.0,5,2.0,2.0,-0.75,1,0
control,2010-06-07 01:44:00-04:00,IS,2010,0.5-1.0,0.6043956043956045,1822.75,1831.0,1.0,1.0,-5.0,15,2.25,3.25,-0.75,1,0
control,2010-06-07 01:44:00-04:00,IS,2010,0.5-1.0,0.6043956043956045,1822.75,1831.0,1.0,1.0,-5.0,30,-4.5,3.25,-4.75,0,0
control,2010-06-07 01:44:00-04:00,IS,2010,0.5-1.0,0.6043956043956045,1822.75,1831.0,1.0,1.0,-5.0,60,2.5,3.25,-5.25,1,0
break,2010-06-07 05:44:00-04:00,IS,2010,0.5-1.0,0.5555555555555556,1832.0,1831.25,,0.0,7.75,1,0.0,0.0,-0.25,0,1
break,2010-06-07 05:44:00-04:00,IS,2010,0.5-1.0,0.5555555555555556,1832.0,1831.25,,0.0,7.75,5,0.25,1.0,-1.0,1,1
break,2010-06-07 05:44:00-04:00,IS,2010,0.5-1.0,0.5555555555555556,1832.0,1831.25,,0.0,7.75,15,3.75,4.0,-1.0,1,1
break,2010-06-07 05:44:00-04:00,IS,2010,0.5-1.0,0.5555555555555556,1832.0,1831.25,,0.0,7.75,30,5.0,5.5,-1.0,1,1
break,2010-06-07 05:44:00-04:00,IS,2010,0.5-1.0,0.5555555555555556,1832.0,1831.25,,0.0,7.75,60,6.0,7.0,-1.0,1,1
control,2010-06-07 09:59:00-04:00,IS,2010,1.5+,3.1137724550898205,1840.5,1845.0,1.0,0.9833333333333333,0.5,1,-0.75,0.25,-2.0,0,0
control,2010-06-07 09:59:00-04:00,IS,2010,1.5+,3.1137724550898205,1840.5,1845.0,1.0,0.9833333333333333,0.5,5,0.5,1.5,-2.0,1,0
control,2010-06-07 09:59:00-04:00,IS,2010,1.5+,3.1137724550898205,1840.5,1845.0,1.0,0.9833333333333333,0.5,15,1.75,5.0,-2.0,1,0
control,2010-06-07 09:59:00-04:00,IS,2010,1.5+,3.1137724550898205,1840.5,1845.0,1.0,0.9833333333333333,0.5,30,-4.0,5.0,-5.25,0,0
control,2010-06-07 09:59:00-04:00,IS,2010,1.5+,3.1137724550898205,1840.5,1845.0,1.0,0.9833333333333333,0.5,60,-25.75,5.0,-26.75,0,0
control,2010-06-07 11:44:00-04:00,IS,2010,1.0-1.5,1.0567514677103718,1823.5,1845.5,1.0,1.0,-16.5,1,0.0,0.5,-0.75,0,0
control,2010-06-07 11:44:00-04:00,IS,2010,1.0-1.5,1.0567514677103718,1823.5,1845.5,1.0,1.0,-16.5,5,-2.25,0.5,-3.25,0,0
control,2010-06-07 11:44:00-04:00,IS,2010,1.0-1.5,1.0567514677103718,1823.5,1845.5,1.0,1.0,-16.5,15,1.0,1.75,-3.25,1,0
control,2010-06-07 11:44:00-04:00,IS,2010,1.0-1.5,1.0567514677103718,1823.5,1845.5,1.0,1.0,-16.5,30,2.0,5.5,-3.25,1,0
control,2010-06-07 11:44:00-04:00,IS,2010,1.0-1.5,1.0567514677103718,1823.5,1845.5,1.0,1.0,-16.5,60,1.5,5.5,-3.25,1,0
control,2010-06-07 20:14:00-04:00,IS,2010,<0.5,0.25,1803.75,1834.0,1.0,1.0,-28.5,1,0.25,0.25,0.0,1,0
control,2010-06-07 20:14:00-04:00,IS,2010,<0.5,0.25,1803.75,1834.0,1.0,1.0,-28.5,5,0.5,0.75,-0.5,1,0
control,2010-06-07 20:14:00-04:00,IS,2010,<0.5,0.25,1803.75,1834.0,1.0,1.0,-28.5,15,1.5,1.75,-0.5,1,0
control,2010-06-07 20:14:00-04:00,IS,2010,<0.5,0.25,1803.75,1834.0,1.0,1.0,-28.5,30,-11.0,1.75,-12.25,0,0
control,2010-06-07 20:14:00-04:00,IS,2010,<0.5,0.25,1803.75,1834.0,1.0,1.0,-28.5,60,-9.5,1.75,-12.25,0,0
break,2010-06-13 18:14:00-04:00,IS,2010,<0.5,0.23140495867768596,1849.75,1834.0,,0.0,20.5,1,0.0,0.0,0.0,0,1
break,2010-06-13 18:14:00-04:00,IS,2010,<0.5,0.23140495867768596,1849.75,1834.0,,0.0,20.5,5,0.5,0.5,0.0,1,1
break,2010-06-13 18:14:00-04:00,IS,2010,<0.5,0.23140495867768596,1849.75,1834.0,,0.0,20.5,15,-1.0,0.5,-1.5,0,1
break,2010-06-13 18:14:00-04:00,IS,2010,<0.5,0.23140495867768596,1849.75,1834.0,,0.0,20.5,30,1.0,1.25,-1.5,1,1
break,2010-06-13 18:14:00-04:00,IS,2010,<0.5,0.23140495867768596,1849.75,1834.0,,0.0,20.5,60,1.75,4.75,-1.5,1,1
control,2010-06-14 02:14:00-04:00,IS,2010,<0.5,0.09345794392523366,1853.25,1854.25,1.0,1.0,0.0,1,0.0,0.0,-0.25,0,0
control,2010-06-14 02:14:00-04:00,IS,2010,<0.5,0.09345794392523366,1853.25,1854.25,1.0,1.0,0.0,5,0.25,0.25,-0.25,1,0
control,2010-06-14 02:14:00-04:00,IS,2010,<0.5,0.09345794392523366,1853.25,1854.25,1.0,1.0,0.0,15,0.0,1.0,-0.75,0,0
control,2010-06-14 02:14:00-04:00,IS,2010,<0.5,0.09345794392523366,1853.25,1854.25,1.0,1.0,0.0,30,-0.25,1.0,-0.75,0,0
control,2010-06-14 02:14:00-04:00,IS,2010,<0.5,0.09345794392523366,1853.25,1854.25,1.0,1.0,0.0,60,-1.75,1.0,-2.25,0,0
control,2010-06-14 08:14:00-04:00,IS,2010,1.0-1.5,1.015228426395939,1859.25,1859.75,1.0,0.8,1.25,1,0.25,0.25,0.0,1,0
control,2010-06-14 08:14:00-04:00,IS,2010,1.0-1.5,1.015228426395939,1859.25,1859.75,1.0,0.8,1.25,5,-0.5,0.25,-0.5,0,0
control,2010-06-14 08:14:00-04:00,IS,2010,1.0-1.5,1.015228426395939,1859.25,1859.75,1.0,0.8,1.25,15,-0.75,1.75,-0.75,0,0
control,2010-06-14 08:14:00-04:00,IS,2010,1.0-1.5,1.015228426395939,1859.25,1859.75,1.0,0.8,1.25,30,0.5,1.75,-1.5,1,0
control,2010-06-14 08:14:00-04:00,IS,2010,1.0-1.5,1.015228426395939,1859.25,1859.75,1.0,0.8,1.25,60,-1.0,1.75,-1.75,0,0
control,2010-06-14 09:59:00-04:00,IS,2010,0.5-1.0,0.7373271889400922,1863.25,1864.25,9.0,0.016666666666666666,8.75,1,1.75,2.0,-0.75,1,1
control,2010-06-14 09:59:00-04:00,IS,2010,0.5-1.0,0.7373271889400922,1863.25,1864.25,9.0,0.016666666666666666,8.75,5,2.25,3.25,-0.75,1,1
control,2010-06-14 09:59:00-04:00,IS,2010,0.5-1.0,0.7373271889400922,1863.25,1864.25,9.0,0.016666666666666666,8.75,15,4.75,6.5,-0.75,1,1
control,2010-06-14 09:59:00-04:00,IS,2010,0.5-1.0,0.7373271889400922,1863.25,1864.25,9.0,0.016666666666666666,8.75,30,8.0,9.75,-0.75,1,1
control,2010-06-14 09:59:00-04:00,IS,2010,0.5-1.0,0.7373271889400922,1863.25,1864.25,9.0,0.016666666666666666,8.75,60,7.25,9.75,-0.75,1,1
control,2010-06-14 10:14:00-04:00,IS,2010,1.5+,1.6170212765957446,1868.0,1868.0,23.0,0.1,6.0,1,0.5,0.75,0.0,1,1
control,2010-06-14 10:14:00-04:00,IS,2010,1.5+,1.6170212765957446,1868.0,1868.0,23.0,0.1,6.0,5,4.25,4.75,0.0,1,1
control,2010-06-14 10:14:00-04:00,IS,2010,1.5+,1.6170212765957446,1868.0,1868.0,23.0,0.1,6.0,15,3.25,5.0,0.0,1,1
control,2010-06-14 10:14:00-04:00,IS,2010,1.5+,1.6170212765957446,1868.0,1868.0,23.0,0.1,6.0,30,-1.0,5.0,-1.5,0,0
control,2010-06-14 10:14:00-04:00,IS,2010,1.5+,1.6170212765957446,1868.0,1868.0,23.0,0.1,6.0,60,5.0,6.0,-1.5,1,1
break,2010-06-20 18:44:00-04:00,IS,2010,<0.5,0.12931034482758622,1930.0,1876.0,,0.0,56.25,1,-0.5,0.0,-0.5,0,1
break,2010-06-20 18:44:00-04:00,IS,2010,<0.5,0.12931034482758622,1930.0,1876.0,,0.0,56.25,5,-0.25,0.0,-0.75,0,1
break,2010-06-20 18:44:00-04:00,IS,2010,<0.5,0.12931034482758622,1930.0,1876.0,,0.0,56.25,15,-0.5,0.0,-1.0,0,1
break,2010-06-20 18:44:00-04:00,IS,2010,<0.5,0.12931034482758622,1930.0,1876.0,,0.0,56.25,30,-0.25,1.5,-1.25,0,1
break,2010-06-20 18:44:00-04:00,IS,2010,<0.5,0.12931034482758622,1930.0,1876.0,,0.0,56.25,60,1.5,2.25,-1.5,1,1
control,2010-06-20 19:14:00-04:00,IS,2010,<0.5,0.0510204081632653,1929.75,1930.0,1.0,0.2,7.25,1,0.0,0.0,0.0,0,0
control,2010-06-20 19:14:00-04:00,IS,2010,<0.5,0.0510204081632653,1929.75,1930.0,1.0,0.2,7.25,5,-0.75,0.75,-0.75,0,0
control,2010-06-20 19:14:00-04:00,IS,2010,<0.5,0.0510204081632653,1929.75,1930.0,1.0,0.2,7.25,15,0.75,0.75,-1.25,1,1
control,2010-06-20 19:14:00-04:00,IS,2010,<0.5,0.0510204081632653,1929.75,1930.0,1.0,0.2,7.25,30,2.25,2.5,-1.25,1,1
control,2010-06-20 19:14:00-04:00,IS,2010,<0.5,0.0510204081632653,1929.75,1930.0,1.0,0.2,7.25,60,5.75,7.5,-1.25,1,1
control,2010-06-20 21:59:00-04:00,IS,2010,0.5-1.0,0.5644171779141104,1928.5,1938.25,1.0,1.0,-6.5,1,-0.75,0.0,-0.75,0,0
control,2010-06-20 21:59:00-04:00,IS,2010,0.5-1.0,0.5644171779141104,1928.5,1938.25,1.0,1.0,-6.5,5,-1.5,0.0,-2.25,0,0
control,2010-06-20 21:59:00-04:00,IS,2010,0.5-1.0,0.5644171779141104,1928.5,1938.25,1.0,1.0,-6.5,15,-3.75,0.75,-3.75,0,0
control,2010-06-20 21:59:00-04:00,IS,2010,0.5-1.0,0.5644171779141104,1928.5,1938.25,1.0,1.0,-6.5,30,-2.25,0.75,-4.0,0,0
control,2010-06-20 21:59:00-04:00,IS,2010,0.5-1.0,0.5644171779141104,1928.5,1938.25,1.0,1.0,-6.5,60,2.75,3.25,-4.0,1,0
control,2010-06-21 08:59:00-04:00,IS,2010,1.0-1.5,1.0,1933.0,1941.0,1.0,1.0,-3.0,1,1.0,1.0,0.0,1,0
control,2010-06-21 08:59:00-04:00,IS,2010,1.0-1.5,1.0,1933.0,1941.0,1.0,1.0,-3.0,5,0.0,1.0,0.0,0,0
control,2010-06-21 08:59:00-04:00,IS,2010,1.0-1.5,1.0,1933.0,1941.0,1.0,1.0,-3.0,15,1.75,2.5,0.0,1,0
control,2010-06-21 08:59:00-04:00,IS,2010,1.0-1.5,1.0,1933.0,1941.0,1.0,1.0,-3.0,30,2.5,3.5,0.0,1,0
control,2010-06-21 08:59:00-04:00,IS,2010,1.0-1.5,1.0,1933.0,1941.0,1.0,1.0,-3.0,60,3.5,5.0,-7.25,1,0
control,2010-06-21 09:59:00-04:00,IS,2010,1.5+,1.9383259911894273,1936.75,1941.0,1.0,1.0,-2.25,1,1.5,1.75,0.0,1,0
control,2010-06-21 09:59:00-04:00,IS,2010,1.5+,1.9383259911894273,1936.75,1941.0,1.0,1.0,-2.25,5,0.75,2.0,-0.5,1,0
control,2010-06-21 09:59:00-04:00,IS,2010,1.5+,1.9383259911894273,1936.75,1941.0,1.0,1.0,-2.25,15,-4.0,2.0,-5.5,0,0
control,2010-06-21 09:59:00-04:00,IS,2010,1.5+,1.9383259911894273,1936.75,1941.0,1.0,1.0,-2.25,30,-9.5,2.0,-9.5,0,0
control,2010-06-21 09:59:00-04:00,IS,2010,1.5+,1.9383259911894273,1936.75,1941.0,1.0,1.0,-2.25,60,-14.5,2.0,-16.5,0,0
control,2010-06-27 20:59:00-04:00,IS,2010,<0.5,0.16483516483516483,1839.5,1921.75,1.0,1.0,-77.5,1,0.25,1.0,-0.25,1,0
control,2010-06-27 20:59:00-04:00,IS,2010,<0.5,0.16483516483516483,1839.5,1921.75,1.0,1.0,-77.5,5,-1.5,1.0,-1.5,0,0
control,2010-06-27 20:59:00-04:00,IS,2010,<0.5,0.16483516483516483,1839.5,1921.75,1.0,1.0,-77.5,15,2.0,2.25,-1.75,1,0
control,2010-06-27 20:59:00-04:00,IS,2010,<0.5,0.16483516483516483,1839.5,1921.75,1.0,1.0,-77.5,30,3.5,3.5,-1.75,1,0
control,2010-06-27 20:59:00-04:00,IS,2010,<0.5,0.16483516483516483,1839.5,1921.75,1.0,1.0,-77.5,60,3.5,4.75,-1.75,1,0
control,2010-06-28 07:14:00-04:00,IS,2010,0.5-1.0,0.5405405405405406,1845.75,1847.5,1.0,1.0,-0.5,1,0.75,0.75,0.0,1,0
control,2010-06-28 07:14:00-04:00,IS,2010,0.5-1.0,0.5405405405405406,1845.75,1847.5,1.0,1.0,-0.5,5,0.5,1.0,0.0,1,0
control,2010-06-28 07:14:00-04:00,IS,2010,0.5-1.0,0.5405405405405406,1845.75,1847.5,1.0,1.0,-0.5,15,0.5,1.25,0.0,1,0
control,2010-06-28 07:14:00-04:00,IS,2010,0.5-1.0,0.5405405405405406,1845.75,1847.5,1.0,1.0,-0.5,30,0.5,1.25,-0.5,1,0
control,2010-06-28 07:14:00-04:00,IS,2010,0.5-1.0,0.5405405405405406,1845.75,1847.5,1.0,1.0,-0.5,60,-2.75,1.25,-4.0,0,0
control,2010-06-28 10:29:00-04:00,IS,2010,1.5+,1.910828025477707,1832.75,1847.5,1.0,0.95,1.25,1,0.5,0.75,0.0,1,0
control,2010-06-28 10:29:00-04:00,IS,2010,1.5+,1.910828025477707,1832.75,1847.5,1.0,0.95,1.25,5,-3.5,1.0,-4.25,0,0
control,2010-06-28 10:29:00-04:00,IS,2010,1.5+,1.910828025477707,1832.75,1847.5,1.0,0.95,1.25,15,0.5,2.25,-5.5,1,0
control,2010-06-28 10:29:00-04:00,IS,2010,1.5+,1.910828025477707,1832.75,1847.5,1.0,0.95,1.25,30,9.25,10.0,-5.5,1,0
control,2010-06-28 10:29:00-04:00,IS,2010,1.5+,1.910828025477707,1832.75,1847.5,1.0,0.95,1.25,60,15.75,16.0,-5.5,1,1
break,2010-06-28 11:29:00-04:00,IS,2010,0.5-1.0,0.5,1848.5,1847.0,26.0,0.5833333333333334,4.5,1,0.75,0.75,-0.25,1,1
break,2010-06-28 11:29:00-04:00,IS,2010,0.5-1.0,0.5,1848.5,1847.0,26.0,0.5833333333333334,4.5,5,-0.5,1.25,-1.25,0,1
break,2010-06-28 11:29:00-04:00,IS,2010,0.5-1.0,0.5,1848.5,1847.0,26.0,0.5833333333333334,4.5,15,0.25,3.0,-1.25,1,1
break,2010-06-28 11:29:00-04:00,IS,2010,0.5-1.0,0.5,1848.5,1847.0,26.0,0.5833333333333334,4.5,30,-2.75,3.0,-3.5,0,0
break,2010-06-28 11:29:00-04:00,IS,2010,0.5-1.0,0.5,1848.5,1847.0,26.0,0.5833333333333334,4.5,60,-3.75,3.0,-8.75,0,0
control,2010-06-28 20:29:00-04:00,IS,2010,<0.5,0.400890868596882,1838.0,1851.5,1.0,1.0,-13.25,1,0.0,0.0,0.0,0,0
control,2010-06-28 20:29:00-04:00,IS,2010,<0.5,0.400890868596882,1838.0,1851.5,1.0,1.0,-13.25,5,0.0,0.25,-0.25,0,0
control,2010-06-28 20:29:00-04:00,IS,2010,<0.5,0.400890868596882,1838.0,1851.5,1.0,1.0,-13.25,15,-76.75,0.25,-78.0,0,0
control,2010-06-28 20:29:00-04:00,IS,2010,<0.5,0.400890868596882,1838.0,1851.5,1.0,1.0,-13.25,30,-76.0,0.25,-78.0,0,0
control,2010-06-28 20:29:00-04:00,IS,2010,<0.5,0.400890868596882,1838.0,1851.5,1.0,1.0,-13.25,60,-75.25,0.25,-78.0,0,0
control,2010-07-05 04:14:00-04:00,IS,2010,<0.5,0.1762114537444934,1721.25,1846.0,1.0,1.0,-119.0,1,0.0,0.0,-0.25,0,0
control,2010-07-05 04:14:00-04:00,IS,2010,<0.5,0.1762114537444934,1721.25,1846.0,1.0,1.0,-119.0,5,0.75,1.0,-0.75,1,0
control,2010-07-05 04:14:00-04:00,IS,2010,<0.5,0.1762114537444934,1721.25,1846.0,1.0,1.0,-119.0,15,2.5,2.75,-0.75,1,0
control,2010-07-05 04:14:00-04:00,IS,2010,<0.5,0.1762114537444934,1721.25,1846.0,1.0,1.0,-119.0,30,5.0,5.0,-0.75,1,0
control,2010-07-05 04:14:00-04:00,IS,2010,<0.5,0.1762114537444934,1721.25,1846.0,1.0,1.0,-119.0,60,2.5,5.75,-0.75,1,0
control,2010-07-05 20:59:00-04:00,IS,2010,<0.5,0.19704433497536944,1707.75,1726.75,1.0,1.0,-13.25,1,0.0,0.25,0.0,0,0
control,2010-07-05 20:59:00-04:00,IS,2010,<0.5,0.19704433497536944,1707.75,1726.75,1.0,1.0,-13.25,5,0.25,0.25,-0.25,1,0
control,2010-07-05 20:59:00-04:00,IS,2010,<0.5,0.19704433497536944,1707.75,1726.75,1.0,1.0,-13.25,15,1.0,1.0,-0.25,1,0
control,2010-07-05 20:59:00-04:00,IS,2010,<0.5,0.19704433497536944,1707.75,1726.75,1.0,1.0,-13.25,30,2.75,2.75,-0.25,1,0
control,2010-07-05 20:59:00-04:00,IS,2010,<0.5,0.19704433497536944,1707.75,1726.75,1.0,1.0,-13.25,60,5.5,5.75,-0.25,1,0
control,2010-07-05 21:59:00-04:00,IS,2010,0.5-1.0,0.7582938388625592,1713.0,1726.75,1.0,1.0,-9.25,1,-0.25,0.25,-0.25,0,0
control,2010-07-05 21:59:00-04:00,IS,2010,0.5-1.0,0.7582938388625592,1713.0,1726.75,1.0,1.0,-9.25,5,0.25,0.5,-0.5,1,0
control,2010-07-05 21:59:00-04:00,IS,2010,0.5-1.0,0.7582938388625592,1713.0,1726.75,1.0,1.0,-9.25,15,1.5,1.75,-0.5,1,0
control,2010-07-05 21:59:00-04:00,IS,2010,0.5-1.0,0.7582938388625592,1713.0,1726.75,1.0,1.0,-9.25,30,2.0,2.0,-0.5,1,0
control,2010-07-05 21:59:00-04:00,IS,2010,0.5-1.0,0.7582938388625592,1713.0,1726.75,1.0,1.0,-9.25,60,2.0,4.5,-0.5,1,0
control,2010-07-05 23:59:00-04:00,IS,2010,1.0-1.5,1.0476190476190477,1720.5,1726.75,1.0,1.0,-2.5,1,0.0,0.0,0.0,0,0
control,2010-07-05 23:59:00-04:00,IS,2010,1.0-1.5,1.0476190476190477,1720.5,1726.75,1.0,1.0,-2.5,5,-0.25,0.25,-0.5,0,0
control,2010-07-05 23:59:00-04:00,IS,2010,1.0-1.5,1.0476190476190477,1720.5,1726.75,1.0,1.0,-2.5,15,0.0,0.25,-0.5,0,0
control,2010-07-05 23:59:00-04:00,IS,2010,1.0-1.5,1.0476190476190477,1720.5,1726.75,1.0,1.0,-2.5,30,-2.0,0.25,-2.0,0,0
control,2010-07-05 23:59:00-04:00,IS,2010,1.0-1.5,1.0476190476190477,1720.5,1726.75,1.0,1.0,-2.5,60,3.5,3.75,-2.75,1,0
break,2010-07-06 03:14:00-04:00,IS,2010,0.5-1.0,0.5,1728.0,1726.5,,0.0,11.75,1,0.25,0.25,0.0,1,1
break,2010-07-06 03:14:00-04:00,IS,2010,0.5-1.0,0.5,1728.0,1726.5,,0.0,11.75,5,3.25,3.25,0.0,1,1
break,2010-07-06 03:14:00-04:00,IS,2010,0.5-1.0,0.5,1728.0,1726.5,,0.0,11.75,15,3.25,4.25,0.0,1,1
break,2010-07-06 03:14:00-04:00,IS,2010,0.5-1.0,0.5,1728.0,1726.5,,0.0,11.75,30,7.0,7.25,0.0,1,1
break,2010-07-06 03:14:00-04:00,IS,2010,0.5-1.0,0.5,1728.0,1726.5,,0.0,11.75,60,9.75,10.25,0.0,1,1
control,2010-07-06 09:59:00-04:00,IS,2010,1.5+,1.5517241379310345,1750.75,1754.25,1.0,0.03333333333333333,8.25,1,-0.75,1.0,-5.25,0,0
control,2010-07-06 09:59:00-04:00,IS,2010,1.5+,1.5517241379310345,1750.75,1754.25,1.0,0.03333333333333333,8.25,5,6.25,7.5,-5.25,1,1
control,2010-07-06 09:59:00-04:00,IS,2010,1.5+,1.5517241379310345,1750.75,1754.25,1.0,0.03333333333333333,8.25,15,9.75,11.75,-5.25,1,1
control,2010-07-06 09:59:00-04:00,IS,2010,1.5+,1.5517241379310345,1750.75,1754.25,1.0,0.03333333333333333,8.25,30,7.75,11.75,-5.25,1,1
control,2010-07-06 09:59:00-04:00,IS,2010,1.5+,1.5517241379310345,1750.75,1754.25,1.0,0.03333333333333333,8.25,60,5.25,11.75,-5.25,1,1
control,2010-07-06 20:29:00-04:00,IS,2010,<0.5,0.10563380281690142,1731.25,1756.0,1.0,0.08333333333333333,36.25,1,-0.75,0.0,-0.75,0,0
control,2010-07-06 20:29:00-04:00,IS,2010,<0.5,0.10563380281690142,1731.25,1756.0,1.0,0.08333333333333333,36.25,5,-0.25,0.0,-1.25,0,0
control,2010-07-06 20:29:00-04:00,IS,2010,<0.5,0.10563380281690142,1731.25,1756.0,1.0,0.08333333333333333,36.25,15,58.0,58.25,-1.25,1,1
control,2010-07-06 20:29:00-04:00,IS,2010,<0.5,0.10563380281690142,1731.25,1756.0,1.0,0.08333333333333333,36.25,30,57.5,58.25,-1.25,1,1
control,2010-07-06 20:29:00-04:00,IS,2010,<0.5,0.10563380281690142,1731.25,1756.0,1.0,0.08333333333333333,36.25,60,58.25,61.0,-1.25,1,1
break,2010-07-11 21:44:00-04:00,IS,2010,<0.5,-0.1773049645390071,1808.75,1756.0,,0.0,54.75,1,0.0,0.25,0.0,0,1
break,2010-07-11 21:44:00-04:00,IS,2010,<0.5,-0.1773049645390071,1808.75,1756.0,,0.0,54.75,5,-1.25,0.25,-1.75,0,1
break,2010-07-11 21:44:00-04:00,IS,2010,<0.5,-0.1773049645390071,1808.75,1756.0,,0.0,54.75,15,-1.75,0.25,-2.0,0,1
break,2010-07-11 21:44:00-04:00,IS,2010,<0.5,-0.1773049645390071,1808.75,1756.0,,0.0,54.75,30,1.25,2.0,-2.25,1,1
break,2010-07-11 21:44:00-04:00,IS,2010,<0.5,-0.1773049645390071,1808.75,1756.0,,0.0,54.75,60,0.0,2.0,-2.25,0,1
control,2010-07-12 02:14:00-04:00,IS,2010,<0.5,0.04689331770222743,1804.75,1810.5,1.0,1.0,-4.25,1,0.0,0.0,0.0,0,0
control,2010-07-12 02:14:00-04:00,IS,2010,<0.5,0.04689331770222743,1804.75,1810.5,1.0,1.0,-4.25,5,-0.25,0.25,-0.25,0,0
control,2010-07-12 02:14:00-04:00,IS,2010,<0.5,0.04689331770222743,1804.75,1810.5,1.0,1.0,-4.25,15,-2.0,0.25,-2.0,0,0
control,2010-07-12 02:14:00-04:00,IS,2010,<0.5,0.04689331770222743,1804.75,1810.5,1.0,1.0,-4.25,30,-0.25,0.25,-2.25,0,0
control,2010-07-12 02:14:00-04:00,IS,2010,<0.5,0.04689331770222743,1804.75,1810.5,1.0,1.0,-4.25,60,-1.75,1.5,-2.25,0,0
control,2010-07-12 12:14:00-04:00,IS,2010,1.5+,1.5512465373961217,1814.5,1829.75,1.0,1.0,-12.5,1,0.0,0.25,-0.75,0,0
control,2010-07-12 12:14:00-04:00,IS,2010,1.5+,1.5512465373961217,1814.5,1829.75,1.0,1.0,-12.5,5,-0.25,0.25,-1.5,0,0
control,2010-07-12 12:14:00-04:00,IS,2010,1.5+,1.5512465373961217,1814.5,1829.75,1.0,1.0,-12.5,15,-1.75,0.25,-2.0,0,0
control,2010-07-12 12:14:00-04:00,IS,2010,1.5+,1.5512465373961217,1814.5,1829.75,1.0,1.0,-12.5,30,0.5,2.75,-3.5,1,0
control,2010-07-12 12:14:00-04:00,IS,2010,1.5+,1.5512465373961217,1814.5,1829.75,1.0,1.0,-12.5,60,0.25,2.75,-5.5,1,0
control,2010-07-12 13:14:00-04:00,IS,2010,0.5-1.0,0.8845208845208845,1814.75,1829.75,1.0,1.0,-9.0,1,1.5,1.75,-0.25,1,0
control,2010-07-12 13:14:00-04:00,IS,2010,0.5-1.0,0.8845208845208845,1814.75,1829.75,1.0,1.0,-9.0,5,2.0,3.25,-0.25,1,0
control,2010-07-12 13:14:00-04:00,IS,2010,0.5-1.0,0.8845208845208845,1814.75,1829.75,1.0,1.0,-9.0,15,2.5,3.25,-0.25,1,0
control,2010-07-12 13:14:00-04:00,IS,2010,0.5-1.0,0.8845208845208845,1814.75,1829.75,1.0,1.0,-9.0,30,1.75,5.0,-0.25,1,0
control,2010-07-12 13:14:00-04:00,IS,2010,0.5-1.0,0.8845208845208845,1814.75,1829.75,1.0,1.0,-9.0,60,3.75,6.0,-0.25,1,0
break,2010-07-12 20:29:00-04:00,IS,2010,<0.5,0.15544041450777202,1828.0,1821.75,,0.0,43.25,1,-0.25,0.0,-0.25,0,1
break,2010-07-12 20:29:00-04:00,IS,2010,<0.5,0.15544041450777202,1828.0,1821.75,,0.0,43.25,5,-0.5,0.0,-1.0,0,1
break,2010-07-12 20:29:00-04:00,IS,2010,<0.5,0.15544041450777202,1828.0,1821.75,,0.0,43.25,15,0.75,1.5,-1.0,1,1
break,2010-07-12 20:29:00-04:00,IS,2010,<0.5,0.15544041450777202,1828.0,1821.75,,0.0,43.25,30,36.75,37.0,-1.0,1,1
break,2010-07-12 20:29:00-04:00,IS,2010,<0.5,0.15544041450777202,1828.0,1821.75,,0.0,43.25,60,35.5,37.0,-1.0,1,1
break,2010-07-13 18:44:00-04:00,IS,2010,<0.5,-0.09852216748768472,1863.5,1829.5,,0.0,34.25,1,0.0,0.0,0.0,0,1
break,2010-07-13 18:44:00-04:00,IS,2010,<0.5,-0.09852216748768472,1863.5,1829.5,,0.0,34.25,5,-0.5,0.0,-0.5,0,1
break,2010-07-13 18:44:00-04:00,IS,2010,<0.5,-0.09852216748768472,1863.5,1829.5,,0.0,34.25,15,0.25,0.25,-1.0,1,1
break,2010-07-13 18:44:00-04:00,IS,2010,<0.5,-0.09852216748768472,1863.5,1829.5,,0.0,34.25,30,-0.75,0.25,-1.0,0,1
break,2010-07-13 18:44:00-04:00,IS,2010,<0.5,-0.09852216748768472,1863.5,1829.5,,0.0,34.25,60,0.0,0.25,-45.5,0,1
control,2010-07-18 18:29:00-04:00,IS,2010,<0.5,0.047619047619047616,1797.25,1864.0,1.0,1.0,-62.5,1,0.0,0.0,0.0,0,0
